PercentSeason,PercentArea,DRP.mg.per.L
0.0002822,0.1162103,
0.0005643,0.1160932,
0.0008465,0.1148860,
0.0011287,0.1146723,
0.0014108,0.1134322,
0.0016930,0.1110441,
0.0019752,0.1096474,
0.0022573,0.1083333,
0.0025395,0.1066472,
0.0028217,0.1044646,
0.0031038,0.1040900,
0.0033860,0.1019459,
0.0036682,0.1006675,
0.0039503,0.0995975,
0.0042325,0.0983668,
0.0045147,0.0970505,
0.0047968,0.0959041,
0.0050790,0.0949798,
0.0053612,0.0938065,
0.0056433,0.0927999,
0.0059255,0.0918151,
0.0062077,0.0913509,0.089
0.0064898,0.0899457,
0.0067720,0.0897862,
0.0070542,0.0897330,
0.0073363,0.0888661,
0.0076185,0.0887425,
0.0079007,0.0882488,
0.0081828,0.0880375,
0.0084650,0.0875978,
0.0087472,0.0874398,
0.0090293,0.0871590,
0.0093115,0.0868085,
0.0095937,0.0852201,
0.0098758,0.0843864,
0.0101580,0.0842997,
0.0104402,0.0835557,
0.0107223,0.0833657,
0.0110045,0.0830379,
0.0112867,0.0824698,
0.0115688,0.0822978,
0.0118510,0.0821261,
0.0121332,0.0816457,
0.0124153,0.0810297,
0.0126975,0.0808417,
0.0129797,0.0808076,
0.0132619,0.0807905,
0.0135440,0.0807051,
0.0138262,0.0805345,0.100
0.0141084,0.0802618,
0.0143905,0.0801086,
0.0146727,0.0799724,
0.0149549,0.0799724,
0.0152370,0.0799384,
0.0155192,0.0799044,
0.0158014,0.0798024,
0.0160835,0.0796154,
0.0163657,0.0795475,
0.0166479,0.0795135,
0.0169300,0.0793947,
0.0172122,0.0792420,
0.0174944,0.0791573,
0.0177765,0.0791234,
0.0180587,0.0788523,
0.0183409,0.0788015,
0.0186230,0.0786831,
0.0189052,0.0786831,
0.0191874,0.0786493,
0.0194695,0.0782268,
0.0197517,0.0781762,
0.0200339,0.0777040,
0.0203160,0.0776198,
0.0205982,0.0775862,
0.0208804,0.0775693,
0.0211625,0.0772161,
0.0214447,0.0771657,
0.0217269,0.0766622,
0.0220090,0.0765448,
0.0222912,0.0761430,
0.0225734,0.0760093,
0.0228555,0.0759090,
0.0231377,0.0755083,
0.0234199,0.0752750,
0.0237020,0.0752083,
0.0239842,0.0748589,
0.0242664,0.0747923,
0.0245485,0.0747259,
0.0248307,0.0743108,
0.0251129,0.0740124,
0.0253950,0.0735160,
0.0256772,0.0733839,
0.0259594,0.0733508,
0.0262415,0.0733178,
0.0265237,0.0732848,
0.0268059,0.0727077,
0.0270880,0.0726254,
0.0273702,0.0726254,
0.0276524,0.0726254,
0.0279345,0.0725761,
0.0282167,0.0725267,
0.0284989,0.0723951,
0.0287810,0.0723622,
0.0290632,0.0722801,
0.0293454,0.0722472,
0.0296275,0.0721815,
0.0299097,0.0718205,
0.0301919,0.0717549,
0.0304740,0.0716238,
0.0307562,0.0714437,
0.0310384,0.0714109,
0.0313205,0.0707900,
0.0316027,0.0705779,
0.0318849,0.0702685,
0.0321670,0.0700570,
0.0324492,0.0698619,
0.0327314,0.0695697,
0.0330135,0.0694400,
0.0332957,0.0694238,0.122
0.0335779,0.0693103,
0.0338600,0.0691807,
0.0341422,0.0690512,
0.0344244,0.0688733,
0.0347065,0.0683888,
0.0349887,0.0679538,
0.0352709,0.0679055,
0.0355530,0.0678572,
0.0358352,0.0678089,
0.0361174,0.0677929,
0.0363995,0.0674393,
0.0366817,0.0673591,
0.0369639,0.0672147,
0.0372460,0.0669742,
0.0375282,0.0665582,
0.0378104,0.0661429,
0.0380926,0.0658400,
0.0383747,0.0653468,
0.0386569,0.0651245,0.055
0.0389391,0.0647439,
0.0392212,0.0646805,
0.0395034,0.0644273,
0.0397856,0.0642534,
0.0400677,0.0641270,
0.0403499,0.0640954,
0.0406321,0.0638744,
0.0409142,0.0636695,
0.0411964,0.0635120,
0.0414786,0.0634648,
0.0417607,0.0634018,
0.0420429,0.0633074,
0.0423251,0.0632602,
0.0426072,0.0632288,
0.0428894,0.0630716,
0.0431716,0.0630088,
0.0434537,0.0628832,
0.0437359,0.0627577,
0.0440181,0.0627420,
0.0443002,0.0625383,
0.0445824,0.0624130,
0.0448646,0.0623504,
0.0451467,0.0621939,
0.0454289,0.0621158,
0.0457111,0.0618970,
0.0459932,0.0617878,
0.0462754,0.0614759,
0.0465576,0.0613202,
0.0468397,0.0609469,
0.0471219,0.0608227,
0.0474041,0.0606674,
0.0476862,0.0606054,
0.0479684,0.0603574,
0.0482506,0.0602490,
0.0485327,0.0602026,
0.0488149,0.0601097,
0.0490971,0.0600479,
0.0493792,0.0598933,
0.0496614,0.0598469,
0.0499436,0.0598315,
0.0502257,0.0597543,
0.0505079,0.0597234,
0.0507901,0.0595228,
0.0510722,0.0594149,
0.0513544,0.0593687,
0.0516366,0.0593379,
0.0519187,0.0592917,0.156
0.0522009,0.0591993,
0.0524831,0.0591377,
0.0527652,0.0590454,
0.0530474,0.0590300,
0.0533296,0.0589685,
0.0536117,0.0589377,
0.0538939,0.0587533,
0.0541761,0.0587533,
0.0544582,0.0586919,
0.0547404,0.0586152,
0.0550226,0.0585538,
0.0553047,0.0584924,
0.0555869,0.0584924,
0.0558691,0.0584771,
0.0561512,0.0584158,
0.0564334,0.0584158,
0.0567156,0.0582319,
0.0569977,0.0580788,
0.0572799,0.0580176,
0.0575621,0.0580023,
0.0578442,0.0579870,
0.0581264,0.0578647,
0.0584086,0.0578189,
0.0586907,0.0577119,
0.0589729,0.0576356,
0.0592551,0.0576203,
0.0595372,0.0574830,
0.0598194,0.0574372,
0.0601016,0.0574220,
0.0603837,0.0573915,
0.0606659,0.0573000,
0.0609481,0.0572086,
0.0612302,0.0570868,
0.0615124,0.0569043,
0.0617946,0.0568891,
0.0620767,0.0568739,
0.0623589,0.0568283,0.156
0.0626411,0.0567371,0.141
0.0629233,0.0567219,
0.0632054,0.0567219,
